t_ms,air,egr,oxy
0.7471886294695402,6.112091505672164,0.04710943576119745,0.0
0.8342971471378215,6.826113108916662,0.052701895616185636,0.0
0.9315609235334111,7.62320883324402,0.05894832997784023,0.0
1.0401638759422294,8.51302355885332,0.06592410192903075,0.0
1.1614279447353364,9.506317155446059,0.0737134485220177,0.0
1.2968291843342832,10.615092281071894,0.08241056982872882,0.0
1.448015730088498,11.852736592266396,0.09212082231374123,0.0
1.6168278597617138,13.23418090067718,0.10296202500581637,0.0
1.805320393820497,14.77607501690523,0.11506589184710446,0.0
2.0157877071864214,16.496983143585524,0.12857961377525648,0.0
2.2507916569007187,18.41760086779072,0.14366761646129242,0.0
2.5131927656434327,20.5609959752804,0.1605135258127256,0.0
2.806185040680151,22.9528754757944,0.17932237250346442,0.0
3.1333348520605697,25.62188139867744,0.20032306402209027,0.0
3.498624343303405,28.599918056583103,0.22377115516791862,0.0
3.9064999029725724,31.922513595507272,0.2499519453734947,0.0
4.361926287151908,35.62921870491802,0.279183941272323,0.0
4.8704470516098235,39.76404532586942,0.31182272224464064,0.0
5.43825202924818,44.37594813011834,0.34826525708251943,0.0
6.072252674186587,49.51935122529041,0.3889547211752945,0.0
6.780166189587872,55.25472195706646,0.43438587269825246,0.0
7.570609463248096,61.6491932086885,0.48511105531323967,0.0
8.453203954356967,68.77723436575945,0.5417468940149271,0.0
9.438692808134707,76.72136951863993,0.6049817670106439,0.0
10.539071623891822,85.57293954454583,0.6755841407892851,0.0
11.767734468251268,95.43290171817483,0.7544118736017883,0.0
13.139636910839357,106.41265671336336,0.8424225875310811,0.0
14.671478066954423,118.63488723257068,0.9406852499169591,0.0
16.381903863078236,132.23438516661886,1.0503930883729082,0.0
18.291733999425638,147.35883536287176,1.1728779957036997,0.0
20.42421537217306,164.16950943610078,1.3096265978768167,0.0
22.805305040080338,182.84180735276544,1.4622981744279886,0.0
25.463986179841186,203.5655618804756,1.6327446381029687,0.0
28.43262087604408,226.54499243556134,1.8230328087115228,0.0
31.747344039985638,251.99816186597408,2.0354692422365126,0.0
35.448503252206805,280.1557449810314,2.2726278995029587,0.0
39.58114988261818,311.2588695770321,2.5373809698506493,0.0
44.19558746624242,345.55573427316085,2.8329331983040804,0.0
49.34798400953081,383.2966421107379,3.1628600943468363,0.0
55.10105568038862,424.7270354896552,3.5311504438197643,0.0
61.52483020394318,470.07806391139553,3.942253579106819,0.0
68.69749925628558,519.5541992450782,4.401131880977685,0.0
76.70637023171956,573.3174351946828,4.913319116278009,0.0
